rank,advertiser,reported_spend_usd,ads,in_case_file
1,Ground News,1139987,1877,yes
2,Democrats,1129082,1078,yes
3,Abdul El-Sayed,1073942,995,yes
4,Jon Ossoff,1070586,49,no
5,WorkMoney,933625,959,no
6,James Talarico,793570,48,no
7,One Nation,766253,567,no
8,Wildfire Victims First,693773,77,no
9,bethepeople,595575,177,no
10,Dale Williams,537110,47,no
11,Liberty Point USA,535698,1837,no
12,The Patriotic Prophet,491723,347,no
13,JPMorganChase,474044,120,no
14,The New Yorker,460339,111,no
15,Katherine Amara Whitmore,441650,2503,no
16,Missouri Promise,414756,442,no
17,American Bridge 21st Century,405652,129,no
18,Elizabeth Miller,394622,924,no
19,Tim Tebow,379483,451,no
20,Troy Jackson,371770,1536,no
21,MAHA Movie,354771,21,no
22,"One Nation, Overcharged",320961,199,no
23,Sandy Hook Promise,319932,243,no
24,Turning Point PAC,319827,158,no
25,Rep. Gina Hinojosa,314099,1559,no
