bin_low_usd,bin_high_usd,advertisers
1,1.6295248791659234,0
1.6295248791659234,2.6553513318207176,0
2.6553513318207176,4.326961058128228,0
4.326961058128228,7.0508906954020585,0
7.0508906954020585,11.48960180843717,0
11.48960180843717,18.72259199855816,0
18.72259199855816,30.50892946412337,0
30.50892946412337,49.71505959850732,0
49.71505959850732,81.01192648498433,0
81.01192648498433,132.0109497164427,400
132.0109497164427,215.1151268852651,792
215.1151268852651,350.53545114447394,778
350.53545114447394,571.2062386695715,801
571.2062386695715,930.7947770468551,640
930.7947770468551,1516.7532465955492,616
1516.7532465955492,2471.5871508831347,588
2471.5871508831347,4027.5127533908894,530
4027.5127533908894,6562.932232808505,413
6562.932232808505,10694.461353641424,333
10694.461353641424,17426.890845037164,244
17426.890845037164,28397.552198496953,178
28397.552198496953,46274.517814863706,125
46274.517814863706,75405.47805072724,90
75405.47805072724,122875.10250905987,70
122875.10250905987,200228.03656857647,41
200228.03656857647,326276.56709503935,31
326276.56709503935,531675.783570217,12
531675.783570217,866378.9169777046,6
866378.9169777046,1411785.9999999993,4
