advertiser,state,spend_usd,spend_per_1m_residents
Ground News,California,96671.918039,2456.979142168103
Ground News,Texas,57367.440425,1787.0884412117928
Ground News,Florida,46586.844863,1969.0796308057438
Ground News,New York,39346.833877,1967.003860936884
Ground News,Washington,31954.8875405,3957.711544234998
Ground News,Colorado,26056.0987225,4316.339064327389
Ground News,Pennsylvania,25475.0196635,1948.6719563029678
Ground News,North Carolina,25247.0955425,2225.6147517933687
Ground News,Illinois,24319.800111,1909.6446493507901
Ground News,Michigan,23292.0209415,2293.468479163544
Ground News,Virginia,23163.8592225,2590.8699379077757
Ground News,Ohio,21404.2771405,1792.5931236049983
Ground News,Massachusetts,20957.4703865,2923.098499457711
Ground News,Georgia,19629.5298555,1721.6940625918758
Ground News,Arizona,19603.9155655,2548.872084854767
Ground News,Oregon,18733.9271735,4375.196684585721
Ground News,New Jersey,18533.598994,1932.5810341857564
Ground News,Minnesota,16744.5534495,2855.77295948344
Ground News,Maryland,14953.265141,2379.0550676331422
Ground News,Tennessee,14843.2891945,2011.5962605204243
Ground News,Missouri,14089.086733,2237.2372716131285
Ground News,Wisconsin,14038.331288,2344.2517571453905
Ground News,Indiana,12920.807752499999,1842.6939403261192
Ground News,South Carolina,11617.775109,2056.1589522341737
Ground News,Utah,11276.8661565,3154.5225728532164
Ground News,Connecticut,10489.9020255,2833.161431345969
Ground News,Oklahoma,7914.9071859999995,1907.7499147950089
Ground News,Alabama,7646.1131445,1463.8973794595224
Ground News,Idaho,7396.338406,3592.9077836620527
Ground News,Kentucky,7054.066232,1523.661070457971
Ground News,Kansas,7012.5848909999995,2345.9832205267785
Ground News,Nevada,6831.738375,2063.4500063881205
Ground News,Maine,6617.620175,4656.000573414667
Ground News,Iowa,6387.353305,1967.56737012987
Ground News,Louisiana,6074.810654,1314.467305853078
Ground News,New Mexico,6042.597328,2844.616677541236
Ground News,New Hampshire,5692.6646125,4002.8130418671235
Ground News,Arkansas,5143.307227,1641.392674075204
Ground News,Montana,5138.158082,4460.861082919282
Ground News,Nebraska,4395.374165,2164.760000512209
Ground News,Hawaii,4325.4382375000005,3023.3274043676893
Ground News,Alaska,3852.8179535,5220.599311249412
Ground News,Vermont,3170.117099,4931.69328023273
Ground News,Rhode Island,3044.996464,2722.0838259759507
Ground News,Mississippi,2992.253515,1011.529347077969
Ground News,West Virginia,2689.8864765,1524.1082607321014
Ground News,Delaware,2636.2447375,2464.284500752958
Ground News,"Washington, District of Columbia",2327.9164735,3344.803691916434
Ground News,Wyoming,2218.4591495,3755.1104117579353
Ground News,South Dakota,2093.370212,2219.721181068798
Ground News,North Dakota,1555.266706,1931.2190496058136
Ground News,Unknown,96.243684,
Democrats,California,110726.3633305,2814.1819331795245
Democrats,New York,49458.2041655,2472.4855588802625
Democrats,Florida,37283.5756385,1575.859656717865
Democrats,Washington,33924.8353625,4201.695668002876
Democrats,Pennsylvania,30644.6760715,2344.116772403552
Democrats,Massachusetts,30401.3630645,4240.310357902413
Democrats,Illinois,27814.602515,2184.064286061466
Democrats,Arizona,25889.750835,3366.147082540437
Democrats,Michigan,23774.5417215,2340.9802945723854
Democrats,Virginia,23545.915442999998,2633.6027989036943
Democrats,New Jersey,22203.9465675,2315.304546856563
Democrats,Maryland,20027.641999,3186.3852303281583
Democrats,Colorado,19651.532666,3255.386733967021
Democrats,Oregon,18034.837719,4211.928522217509
Democrats,Minnesota,17179.615989500002,2929.9725994537307
Democrats,Texas,15423.0594095,480.45321518003266
Democrats,Wisconsin,14014.569272,2340.28375363995
Democrats,North Carolina,13861.9538075,1221.9769529812343
Democrats,Connecticut,12912.340811,3487.4249430729096
Democrats,Missouri,11538.6777855,1832.252188950666
Democrats,Indiana,10027.8147635,1430.11132534179
Democrats,Tennessee,9683.420466,1312.319132451472
Democrats,Ohio,9617.8748815,805.4902421183748
Democrats,South Carolina,7670.857256,1357.6181041769612
Democrats,Maine,7336.500932,5161.788020910287
Democrats,Georgia,6722.142009,589.5949658494725
Democrats,New Mexico,6475.793417,3048.548323574466
Democrats,Iowa,6362.1471285,1959.8028316678574
Democrats,Kentucky,5907.180525,1275.936560005633
Democrats,New Hampshire,5767.242624500001,4055.252779563005
Democrats,Kansas,5243.356978,1754.107462628647
Democrats,Nevada,4703.101424,1420.519072994621
Democrats,Delaware,4617.772215,4316.5584498135595
Democrats,Utah,4403.322467,1231.7588880574574
Democrats,Oklahoma,4148.16775,999.8432686128915
Democrats,Alabama,4034.8284755,772.4937782410171
Democrats,"Washington, District of Columbia",3776.2862265,5425.8545166527765
Democrats,Vermont,3759.005917,5847.816860478683
Democrats,Idaho,3718.3592865,1806.2615972357835
Democrats,Rhode Island,3461.1084069999997,3094.068359694518
Democrats,Hawaii,3423.6945450000003,2393.0406524693017
Democrats,Arkansas,3164.3671565,1009.8500516355184
Democrats,Louisiana,3107.001208,672.2928070972629
Democrats,Nebraska,2952.3260455,1454.0462522304488
Democrats,Montana,2884.4115985,2504.196881747409
Democrats,West Virginia,2233.1597110000002,1265.3237200916546
Democrats,South Dakota,1417.312133,1502.857804974774
Democrats,Mississippi,1307.001861,441.8311257584137
Democrats,Alaska,1227.815013,1663.6992166698508
Democrats,Wyoming,1086.996453,1839.9219562479689
Democrats,North Dakota,950.4623805,1180.2162600626575
Democrats,Unknown,75.6156545,
Abdul El-Sayed,Michigan,59218.682617,5831.017510279341
Abdul El-Sayed,California,37966.759828,964.9496863760249
Abdul El-Sayed,New York,28336.0329915,1416.5583556774125
Abdul El-Sayed,Illinois,14999.9665445,1177.8306450466732
Abdul El-Sayed,Texas,14935.4927445,465.26472594490946
Abdul El-Sayed,Florida,10799.4792815,456.46007449195866
Abdul El-Sayed,Washington,9548.539036,1182.6160591383639
Abdul El-Sayed,New Jersey,9214.8281395,960.8712318338248
Abdul El-Sayed,Massachusetts,8857.5658935,1235.4323825654064
Abdul El-Sayed,Pennsylvania,8657.4588135,662.2388294713323
Abdul El-Sayed,Virginia,7668.722634,857.7440720795045
Abdul El-Sayed,Ohio,7207.765889,603.6453127738864
Abdul El-Sayed,Maryland,6167.567365,981.2560839599198
Abdul El-Sayed,Georgia,5385.342529,472.3451007465121
Abdul El-Sayed,Minnesota,5300.6517045,904.0227827516605
Abdul El-Sayed,North Carolina,5095.9525935,449.22503055613714
Abdul El-Sayed,Colorado,4821.530727,798.7136389237686
Abdul El-Sayed,Oregon,4530.571167,1058.087808581715
Abdul El-Sayed,Wisconsin,4067.906002,679.2969618292414
Abdul El-Sayed,Indiana,3739.0188205,533.2381268475702
Abdul El-Sayed,Arizona,3712.6812105,482.7173156194368
Abdul El-Sayed,Connecticut,3374.859549,911.4977325043895
Abdul El-Sayed,Missouri,3000.997091,476.53497144439626
Abdul El-Sayed,Tennessee,2899.8884005,392.9994616377785
Abdul El-Sayed,"Washington, District of Columbia",2393.7487595,3439.393027816891
Abdul El-Sayed,Maine,2029.6360295,1428.0037637813002
Abdul El-Sayed,Kentucky,1695.151001,366.1484743444582
Abdul El-Sayed,South Carolina,1599.5881875,283.1013288480898
Abdul El-Sayed,Iowa,1535.745483,473.07273558983707
Abdul El-Sayed,New Mexico,1463.556904,688.9849102400785
Abdul El-Sayed,Nevada,1396.507941,421.7995715881774
Abdul El-Sayed,Utah,1370.2676185,383.31040498485936
Abdul El-Sayed,Kansas,1186.4693935,396.9202985894497
Abdul El-Sayed,Louisiana,1134.5105435,245.48534967002058
Abdul El-Sayed,New Hampshire,1115.188087,784.1476220075574
Abdul El-Sayed,Alabama,1098.826643,210.37740519509313
Abdul El-Sayed,Vermont,1032.3295945,1605.976298410871
Abdul El-Sayed,Oklahoma,1011.4085625,243.78234053650945
Abdul El-Sayed,Rhode Island,975.6927705,872.2235119481293
Abdul El-Sayed,Hawaii,882.7144935,616.9860189643025
Abdul El-Sayed,Delaware,880.274213,822.8545964080499
Abdul El-Sayed,Nebraska,755.186564,371.93595022904117
Abdul El-Sayed,Idaho,728.6484795,353.9544366203341
Abdul El-Sayed,Arkansas,712.791795,227.4744981812681
Abdul El-Sayed,Alaska,605.7298565,820.7688268204871
Abdul El-Sayed,West Virginia,578.795086,327.9492943477561
Abdul El-Sayed,Montana,534.7169415,464.2321152148188
Abdul El-Sayed,Mississippi,370.1336385,125.12343483152296
Abdul El-Sayed,South Dakota,273.7615675,290.2851805471022
Abdul El-Sayed,North Dakota,227.3772625,282.3408352362823
Abdul El-Sayed,Wyoming,192.849073,326.429072215903
Abdul El-Sayed,Unknown,23.889046,
