advertiser,age,gender,est_impressions
Ground News,18-24,female,176174.301732
Ground News,18-24,male,708380.657436
Ground News,18-24,unknown,19996.9376185
Ground News,25-34,female,502087.1202275
Ground News,25-34,male,1381104.392055
Ground News,25-34,unknown,27341.551496
Ground News,35-44,female,730158.897282
Ground News,35-44,male,1364798.674767
Ground News,35-44,unknown,24263.6392745
Ground News,45-54,female,837224.4763995
Ground News,45-54,male,1270748.688798
Ground News,45-54,unknown,21477.096776500002
Ground News,55-64,female,1180927.987764
Ground News,55-64,male,1439975.010617
Ground News,55-64,unknown,24505.6041075
Ground News,65+,female,1747882.9233424999
Ground News,65+,male,1843873.305917
Ground News,65+,unknown,42301.0163185
Ground News,Unknown,female,141.1636865
Ground News,Unknown,male,153.6044865
Ground News,Unknown,unknown,2.08747
Democrats,18-24,female,415541.198451
Democrats,18-24,male,398291.19433699996
Democrats,18-24,unknown,25796.369924
Democrats,25-34,female,257844.49537350002
Democrats,25-34,male,302564.4198095
Democrats,25-34,unknown,15598.520739
Democrats,35-44,female,133670.7770905
Democrats,35-44,male,179953.2144685
Democrats,35-44,unknown,5508.9926735
Democrats,45-54,female,274930.1968875
Democrats,45-54,male,307348.609422
Democrats,45-54,unknown,8554.3593905
Democrats,55-64,female,879895.262474
Democrats,55-64,male,781184.7094385
Democrats,55-64,unknown,20786.8327095
Democrats,65+,female,3809668.602469
Democrats,65+,male,2797790.660191
Democrats,65+,unknown,83268.604701
Democrats,Unknown,female,2450.418984
Democrats,Unknown,male,2268.598474
Democrats,Unknown,unknown,65.6148245
Abdul El-Sayed,18-24,female,247462.733678
Abdul El-Sayed,18-24,male,612284.882003
Abdul El-Sayed,18-24,unknown,23815.8926805
Abdul El-Sayed,25-34,female,727631.3950015
Abdul El-Sayed,25-34,male,1501476.1132750001
Abdul El-Sayed,25-34,unknown,42299.142531
Abdul El-Sayed,35-44,female,786393.798276
Abdul El-Sayed,35-44,male,1345350.430553
Abdul El-Sayed,35-44,unknown,33739.9895725
Abdul El-Sayed,45-54,female,657686.7673055
Abdul El-Sayed,45-54,male,874152.0521025
Abdul El-Sayed,45-54,unknown,23117.08123
Abdul El-Sayed,55-64,female,751746.290893
Abdul El-Sayed,55-64,male,743226.8577865
Abdul El-Sayed,55-64,unknown,20474.724886
Abdul El-Sayed,65+,female,1116234.5159575
Abdul El-Sayed,65+,male,798886.236178
Abdul El-Sayed,65+,unknown,28508.5781365
Abdul El-Sayed,Unknown,female,187.642081
Abdul El-Sayed,Unknown,male,292.0468705
Abdul El-Sayed,Unknown,unknown,1
